"garaj"->"tatlı":11 bin,"acı":4 bin,result:0.35390249850563626
"bağlaş"->"tatlı":1,"acı":1,result:-0.08543019532462635
"inşaat"->"tatlı":34 bin,"acı":48 bin,result:-0.2351925156579584
"izleniş"->"tatlı":1,"acı":10,result:-1.0854301953246264
"girift"->"tatlı":284,"acı":478,result:-0.31153975188970756
"Osmanlı"->"tatlı":70 bin,"acı":91 bin,result:-0.19937354763146312
"ladin"->"tatlı":6 bin,"acı":3 bin,result:0.21559980033935483
"çürük"->"tatlı":11 bin,"acı":16 bin,result:-0.24815749282232613
"hadise"->"tatlı":33 bin,"acı":69 bin,result:-0.4057653461839942
"andır"->"tatlı":14 bin,"acı":7 bin,result:0.21559980033935483
"trajikomedi"->"tatlı":52 bin,"acı":287,result:2.1726912515761807
"tutu"->"tatlı":16 bin,"acı":5 bin,result:0.4197197829952796
"yarış"->"tatlı":34 bin,"acı":21 bin,result:0.12382942698370952
"dayanak"->"tatlı":366,"acı":2 bin,result:-0.822979105594197
"muhtaç"->"tatlı":13 bin,"acı":21 bin,result:-0.2937061377517089
"rezillik"->"tatlı":2 bin,"acı":4 bin,result:-0.38646019098860757
"kekele"->"tatlı":28,"acı":1,result:1.3617278360175928
"ütü"->"tatlı":12 bin,"acı":7 bin,result:0.1486530107087416
"atlas"->"tatlı":14 bin,"acı":9 bin,result:0.10645533091428677
"sımsıcak"->"tatlı":23 bin,"acı":8 bin,result:0.37320765370102293
"işleniş"->"tatlı":96,"acı":234,result:-0.4723748196952008
"üye"->"tatlı":46 bin,"acı":13 bin,result:0.46338428405011095
"oryantalist"->"tatlı":179,"acı":342,result:-0.3666032704008682
"flor"->"tatlı":6 bin,"acı":577,result:0.9315452419032858
"hata"->"tatlı":24 bin,"acı":72 bin,result:-0.5625514500442889
"salı"->"tatlı":68 bin,"acı":47 bin,result:0.07498085944589254
"kelepçe"->"tatlı":12 bin,"acı":19 bin,result:-0.28500255022983056
"tavsa"->"tatlı":99,"acı":979,result:-1.0805776925302142
"pike"->"tatlı":13 bin,"acı":669,result:1.2030870392143873
"hemşire"->"tatlı":40 bin,"acı":26 bin,result:0.10165644803251807
"sari"->"tatlı":312 bin,"acı":140 bin,result:0.2625963630155784
"teessüf"->"tatlı":167,"acı":6 bin,result:-1.6408649745606867
"ısmarlama"->"tatlı":5 bin,"acı":922,result:0.6488088879577631
"becerikli"->"tatlı":21 bin,"acı":5 bin,result:0.5378190950732742
"beddua"->"tatlı":5 bin,"acı":23 bin,result:-0.7481880270062005
"sark"->"tatlı":2 bin,"acı":4 bin,result:-0.38646019098860757
"sarf"->"tatlı":11 bin,"acı":16 bin,result:-0.24815749282232613
"sarp"->"tatlı":23 bin,"acı":11 bin,result:0.23490495553474147
"saksı"->"tatlı":22 bin,"acı":5 bin,result:0.5580224811615611
"sars"->"tatlı":129,"acı":405,result:-0.582295508240046
"fenomen"->"tatlı":22 bin,"acı":8 bin,result:0.35390249850563626
"pespaye"->"tatlı":2 bin,"acı":506,result:0.5114492834995557
"küçücük"->"tatlı":40 bin,"acı":38 bin,result:-0.06315380061347416
"Yunan"->"tatlı":29 bin,"acı":31 bin,result:-0.11439389125994298
"sava"->"tatlı":bin,"acı":4 bin,result:-0.6874901866525888
"dışkı"->"tatlı":bin,"acı":4 bin,result:-0.6874901866525888
"ton"->"tatlı":76 bin,"acı":23 bin,result:0.43365556093857216
"tok"->"tatlı":64 bin,"acı":27 bin,result:0.2893860145002735
"hava"->"tatlı":155 bin,"acı":194 bin,result:-0.1829002270845609
"top"->"tatlı":136 bin,"acı":35 bin,result:0.5040406686953155
"yahudi"->"tatlı":12 bin,"acı":33 bin,result:-0.524762889154889
"izole"->"tatlı":43 bin,"acı":18 bin,result:0.2927657551516541
"damıt"->"tatlı":384,"acı":12 bin,result:-1.5802802170047203
"hasılı"->"tatlı":3 bin,"acı":2 bin,result:0.09066106373105492
"çöl"->"tatlı":21 bin,"acı":14 bin,result:0.09066106373105492
"toz"->"tatlı":1 milyon,"acı":183 bin,result:0.6521187149449442
"çöm"->"tatlı":2 milyon,"acı":3 milyon,result:-0.2615214543803076
"harç"->"tatlı":34 bin,"acı":3 bin,result:0.9689274669979664
"kaplan"->"tatlı":42 bin,"acı":21 bin,result:0.21559980033935483
"çöp"->"tatlı":25 bin,"acı":18 bin,result:0.057237308244105174
"bişi"->"tatlı":29 bin,"acı":21 bin,result:0.05474850784041043
"toy"->"tatlı":21 bin,"acı":20 bin,result:-0.06424089625468825
"çök"->"tatlı":56 bin,"acı":30 bin,result:0.1856365769619116
"rota"->"tatlı":5 bin,"acı":4 bin,result:0.011479817683430031
"çöz"->"tatlı":5 bin,"acı":2 bin,result:0.31250981334741124
"sanı"->"tatlı":bin,"acı":2 bin,result:-0.38646019098860757
"tıka"->"tatlı":9 bin,"acı":3 bin,result:0.3916910593950361
"tavuk"->"tatlı":817 bin,"acı":87 bin,result:0.8872726085891706
"anca"->"tatlı":19 bin,"acı":17 bin,result:-0.03712551575007133
"izdüşüm"->"tatlı":693,"acı":217,result:0.41884330543865084
"öğretmen"->"tatlı":46 bin,"acı":102 bin,result:-0.4312725354049698
"esrar"->"tatlı":9 bin,"acı":10 bin,result:-0.13118768588530144
"ofis"->"tatlı":41 bin,"acı":13 bin,result:0.4134103090882723
